Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Percentage who had never consumed alcohol,Lifetime abstainer,Total,Total,2015,Estimated,88.49,109364503,viz_total,Percentage who had never consumed alcohol,table_total,1.Total - Lifetime abstainer,"",
Percentage who had never consumed alcohol,Lifetime abstainer,Sex,Men,2015,Estimated,30.79,38053261,viz_sex,Percentage who had never consumed alcohol,table_total,Men - Lifetime abstainer,Total,88.49
Percentage who had never consumed alcohol,Lifetime abstainer,Sex,Women,2015,Estimated,22.72,28079574,viz_sex,Percentage who had never consumed alcohol,table_total,Women - Lifetime abstainer,Total,88.49
Percentage who had never consumed alcohol,Lifetime abstainer,Age,Age Group 1,2015,Estimated,0.4786,591500,viz_age,Percentage who had never consumed alcohol,,Age Group 1 - Lifetime abstainer,Total,88.49
Percentage who had never consumed alcohol,Lifetime abstainer,Age,Age Group 2,2015,Estimated,54.14,66911450,viz_age,Percentage who had never consumed alcohol,,Age Group 2 - Lifetime abstainer,Total,88.49
Percentage who had never consumed alcohol,Lifetime abstainer,Age,Age Group 3,2015,Estimated,76.49,94533742,viz_age,Percentage who had never consumed alcohol,,Age Group 3 - Lifetime abstainer,Total,88.49
Percentage who had never consumed alcohol,Lifetime abstainer,Age,Age Group 4,2015,Estimated,97.69,120734753,viz_age,Percentage who had never consumed alcohol,,Age Group 4 - Lifetime abstainer,Total,88.49
Percentage who had never consumed alcohol,Lifetime abstainer,Area,Urban,2015,Estimated,70.79,87489130,viz_area,Percentage who had never consumed alcohol,,Urban - Lifetime abstainer,Total,88.49
Percentage who had never consumed alcohol,Lifetime abstainer,Area,Rural,2015,Estimated,26.45,32689469,viz_area,Percentage who had never consumed alcohol,,Rural - Lifetime abstainer,Total,88.49
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Age,Women Age Group 1,2015,Estimated,83.77,103531070,viz_women_age,Percentage who had never consumed alcohol,,Women Age Group 1 - Lifetime abstainer,Women,22.72
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Age,Women Age Group 2,2015,Estimated,8.867,10958696,viz_women_age,Percentage who had never consumed alcohol,,Women Age Group 2 - Lifetime abstainer,Women,22.72
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Age,Women Age Group 3,2015,Estimated,78.55,97079689,viz_women_age,Percentage who had never consumed alcohol,,Women Age Group 3 - Lifetime abstainer,Women,22.72
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Age,Women Age Group 4,2015,Estimated,1.363,1684527,viz_women_age,Percentage who had never consumed alcohol,,Women Age Group 4 - Lifetime abstainer,Women,22.72
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Age,Men Age Group 1,2015,Estimated,0.1146,141634,viz_men_age,Percentage who had never consumed alcohol,,Men Age Group 1 - Lifetime abstainer,Men,30.79
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Age,Men Age Group 2,2015,Estimated,68.84,85079132,viz_men_age,Percentage who had never consumed alcohol,,Men Age Group 2 - Lifetime abstainer,Men,30.79
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Age,Men Age Group 3,2015,Estimated,62.1,76749188,viz_men_age,Percentage who had never consumed alcohol,,Men Age Group 3 - Lifetime abstainer,Men,30.79
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Age,Men Age Group 4,2015,Estimated,17.97,22209064,viz_men_age,Percentage who had never consumed alcohol,,Men Age Group 4 - Lifetime abstainer,Men,30.79
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Area,Urban Men,2015,Estimated,79.66,98451534,viz_sex_area,Percentage who had never consumed alcohol,,Urban Men - Lifetime abstainer,Men,30.79
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Area,Rural Men,2015,Estimated,88.49,109364503,viz_sex_area,Percentage who had never consumed alcohol,,Rural Men - Lifetime abstainer,Men,30.79
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Area,Urban Women,2015,Estimated,30.79,38053261,viz_sex_area,Percentage who had never consumed alcohol,,Urban Women - Lifetime abstainer,Women,22.72
Percentage who had never consumed alcohol,Lifetime abstainer,Sex by Area,Rural Women,2015,Estimated,22.72,28079574,viz_sex_area,Percentage who had never consumed alcohol,,Rural Women - Lifetime abstainer,Women,22.72
Percentage who had never consumed alcohol,Lifetime abstainer,Age by Area,Urban Age Group 1,2015,Estimated,0.4786,591500,viz_age_area,Percentage who had never consumed alcohol,,Urban Age Group 1 - Lifetime abstainer,Urban,70.79
Percentage who had never consumed alcohol,Lifetime abstainer,Age by Area,Rural Age Group 1,2015,Estimated,54.14,66911450,viz_age_area,Percentage who had never consumed alcohol,,Rural Age Group 1 - Lifetime abstainer,Rural,26.45
Percentage who had never consumed alcohol,Lifetime abstainer,Age by Area,Urban Age Group 2,2015,Estimated,76.49,94533742,viz_age_area,Percentage who had never consumed alcohol,,Urban Age Group 2 - Lifetime abstainer,Urban,70.79
Percentage who had never consumed alcohol,Lifetime abstainer,Age by Area,Rural Age Group 2,2015,Estimated,97.69,120734753,viz_age_area,Percentage who had never consumed alcohol,,Rural Age Group 2 - Lifetime abstainer,Rural,26.45
Percentage who had never consumed alcohol,Lifetime abstainer,Age by Area,Urban Age Group 3,2015,Estimated,70.79,87489130,viz_age_area,Percentage who had never consumed alcohol,,Urban Age Group 3 - Lifetime abstainer,Urban,70.79
Percentage who had never consumed alcohol,Lifetime abstainer,Age by Area,Rural Age Group 3,2015,Estimated,26.45,32689469,viz_age_area,Percentage who had never consumed alcohol,,Rural Age Group 3 - Lifetime abstainer,Rural,26.45
Percentage who had never consumed alcohol,Lifetime abstainer,Age by Area,Urban Age Group 4,2015,Estimated,83.77,103531070,viz_age_area,Percentage who had never consumed alcohol,,Urban Age Group 4 - Lifetime abstainer,Urban,70.79
Percentage who had never consumed alcohol,Lifetime abstainer,Age by Area,Rural Age Group 4,2015,Estimated,8.867,10958696,viz_age_area,Percentage who had never consumed alcohol,,Rural Age Group 4 - Lifetime abstainer,Rural,26.45
Percentage who had never consumed alcohol,Lifetime abstainer,Total,Total,2015,Lower Bound,78.55,97079689,,,table_total,1.Total - Lifetime abstainer,"",
Percentage who had never consumed alcohol,Lifetime abstainer,Sex,Men,2015,Lower Bound,1.363,1684527,,,table_total,Men - Lifetime abstainer,Total,78.55
Percentage who had never consumed alcohol,Lifetime abstainer,Sex,Women,2015,Lower Bound,0.1146,141634,,,table_total,Women - Lifetime abstainer,Total,78.55
Percentage who had never consumed alcohol,Lifetime abstainer,Age,Age Group 1,2015,Lower Bound,68.84,85079132,,,,Age Group 1 - Lifetime abstainer,Total,78.55
Percentage who had never consumed alcohol,Lifetime abstainer,Age,Age Group 2,2015,Lower Bound,62.1,76749188,,,,Age Group 2 - Lifetime abstainer,Total,78.55
