Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age,18-29,2015,Estimated,8.2,,viz_age,Average maximum number of standard drinks consumed on one occasion,,18-29 - Average maximum drinks per occasion,Total,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age,18-29,2015,Lower Bound,7.3,,,,,18-29 - Average maximum drinks per occasion,Total,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age,18-29,2015,Upper Bound,9.1,,,,,18-29 - Average maximum drinks per occasion,Total,7.347
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age,30-49,2015,Estimated,7.7,,viz_age,Average maximum number of standard drinks consumed on one occasion,,30-49 - Average maximum drinks per occasion,Total,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age,30-49,2015,Lower Bound,7.1,,,,,30-49 - Average maximum drinks per occasion,Total,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age,30-49,2015,Upper Bound,8.3,,,,,30-49 - Average maximum drinks per occasion,Total,7.347
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age,50-69,2015,Estimated,5.8,,viz_age,Average maximum number of standard drinks consumed on one occasion,,50-69 - Average maximum drinks per occasion,Total,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age,50-69,2015,Lower Bound,5.2,,,,,50-69 - Average maximum drinks per occasion,Total,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age,50-69,2015,Upper Bound,6.4,,,,,50-69 - Average maximum drinks per occasion,Total,7.347
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age, 18-69,2015,Estimated,7.5,,viz_age,Average maximum number of standard drinks consumed on one occasion,, 18-69 - Average maximum drinks per occasion,Total,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age, 18-69,2015,Lower Bound,7,,,,, 18-69 - Average maximum drinks per occasion,Total,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age, 18-69,2015,Upper Bound,7.9,,,,, 18-69 - Average maximum drinks per occasion,Total,7.347
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,Average maximum number of standard drinks consumed on one occasion,,Rural 18-29 - Average maximum drinks per occasion,Rural,5.194
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural 18-29,2015,Lower Bound,,,,,,Rural 18-29 - Average maximum drinks per occasion,Rural,10.11
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural 18-29,2015,Upper Bound,,,,,,Rural 18-29 - Average maximum drinks per occasion,Rural,6.728
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,Average maximum number of standard drinks consumed on one occasion,,Rural 30-49 - Average maximum drinks per occasion,Rural,5.194
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Average maximum drinks per occasion,Rural,10.11
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural 30-49,2015,Upper Bound,,,,,,Rural 30-49 - Average maximum drinks per occasion,Rural,6.728
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,Average maximum number of standard drinks consumed on one occasion,,Rural 50-69 - Average maximum drinks per occasion,Rural,5.194
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural 50-69,2015,Lower Bound,,,,,,Rural 50-69 - Average maximum drinks per occasion,Rural,10.11
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural 50-69,2015,Upper Bound,,,,,,Rural 50-69 - Average maximum drinks per occasion,Rural,6.728
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,Average maximum number of standard drinks consumed on one occasion,,Rural  18-69 - Average maximum drinks per occasion,Rural,5.194
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average maximum drinks per occasion,Rural,10.11
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average maximum drinks per occasion,Rural,10.11
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,Average maximum number of standard drinks consumed on one occasion,,Urban 18-29 - Average maximum drinks per occasion,Urban,6.687
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban 18-29,2015,Lower Bound,,,,,,Urban 18-29 - Average maximum drinks per occasion,Urban,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban 18-29,2015,Upper Bound,,,,,,Urban 18-29 - Average maximum drinks per occasion,Urban,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,Average maximum number of standard drinks consumed on one occasion,,Urban 30-49 - Average maximum drinks per occasion,Urban,6.687
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban 30-49,2015,Lower Bound,,,,,,Urban 30-49 - Average maximum drinks per occasion,Urban,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban 30-49,2015,Upper Bound,,,,,,Urban 30-49 - Average maximum drinks per occasion,Urban,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,Average maximum number of standard drinks consumed on one occasion,,Urban 50-69 - Average maximum drinks per occasion,Urban,6.687
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban 50-69,2015,Lower Bound,,,,,,Urban 50-69 - Average maximum drinks per occasion,Urban,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban 50-69,2015,Upper Bound,,,,,,Urban 50-69 - Average maximum drinks per occasion,Urban,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,Average maximum number of standard drinks consumed on one occasion,,Urban  18-69 - Average maximum drinks per occasion,Urban,6.687
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban  18-69,2015,Lower Bound,,,,,,Urban  18-69 - Average maximum drinks per occasion,Urban,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Age by Area,Urban  18-69,2015,Upper Bound,,,,,,Urban  18-69 - Average maximum drinks per occasion,Urban,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Area,Rural,2015,Estimated,6.2,,viz_area,Average maximum number of standard drinks consumed on one occasion,,Rural - Average maximum drinks per occasion,Total,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Area,Rural,2015,Lower Bound,5.8,,,,,Rural - Average maximum drinks per occasion,Total,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Area,Rural,2015,Upper Bound,8.5,,,,,Rural - Average maximum drinks per occasion,Total,7.347
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Area,Urban,2015,Estimated,8,,viz_area,Average maximum number of standard drinks consumed on one occasion,,Urban - Average maximum drinks per occasion,Total,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Area,Urban,2015,Lower Bound,7,,,,,Urban - Average maximum drinks per occasion,Total,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Area,Urban,2015,Upper Bound,9.6,,,,,Urban - Average maximum drinks per occasion,Total,7.347
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Sex,Men,2015,Estimated,8.1,,viz_sex,Average maximum number of standard drinks consumed on one occasion,table_total,Men - Average maximum drinks per occasion,Total,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Sex,Men,2015,Lower Bound,7.6,,,,table_total,Men - Average maximum drinks per occasion,Total,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Sex,Men,2015,Upper Bound,8.6,,,,table_total,Men - Average maximum drinks per occasion,Total,7.347
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Sex,Women,2015,Estimated,2.9,,viz_sex,Average maximum number of standard drinks consumed on one occasion,table_total,Women - Average maximum drinks per occasion,Total,7.204
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Sex,Women,2015,Lower Bound,2.3,,,,table_total,Women - Average maximum drinks per occasion,Total,12.27
Average maximum number of standard drinks consumed on one occasion,Average maximum drinks per occasion,Sex,Women,2015,Upper Bound,3.5,,,,table_total,Women - Average maximum drinks per occasion,Total,7.347
