Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Percentage who have had their cholesterol measured,Never measured,Total,Total,2015,Estimated,23.56,29117727,viz_total,Percentage who have had their cholesterol measured,"",
Percentage who have had their cholesterol measured,Never measured,Sex,Men,2015,Estimated,36.17,44702385,viz_sex,Percentage who have had their cholesterol measured,Total,23.56
Percentage who have had their cholesterol measured,Never measured,Sex,Women,2015,Estimated,73.37,90677744,viz_sex,Percentage who have had their cholesterol measured,Total,23.56
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 1,2015,Estimated,53.28,65848578,viz_age,Percentage who have had their cholesterol measured,Total,23.56
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 2,2015,Estimated,21.43,26485267,viz_age,Percentage who have had their cholesterol measured,Total,23.56
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 3,2015,Estimated,56.52,69852884,viz_age,Percentage who have had their cholesterol measured,Total,23.56
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 4,2015,Estimated,83.01,102591788,viz_age,Percentage who have had their cholesterol measured,Total,23.56
Percentage who have had their cholesterol measured,Never measured,Area,Urban,2015,Estimated,29.75,36767928,viz_area,Percentage who have had their cholesterol measured,Total,23.56
Percentage who have had their cholesterol measured,Never measured,Area,Rural,2015,Estimated,14.51,17932862,viz_area,Percentage who have had their cholesterol measured,Total,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 1,2015,Estimated,10.4,12853326,viz_women_age,Percentage who have had their cholesterol measured,Women,73.37
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 2,2015,Estimated,36.23,44776539,viz_women_age,Percentage who have had their cholesterol measured,Women,73.37
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 3,2015,Estimated,73.66,91036154,viz_women_age,Percentage who have had their cholesterol measured,Women,73.37
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 4,2015,Estimated,91.46,113035116,viz_women_age,Percentage who have had their cholesterol measured,Women,73.37
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 1,2015,Estimated,7.51,9281585,viz_men_age,Percentage who have had their cholesterol measured,Men,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 2,2015,Estimated,80.43,99403175,viz_men_age,Percentage who have had their cholesterol measured,Men,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 3,2015,Estimated,23.56,29117727,viz_men_age,Percentage who have had their cholesterol measured,Men,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 4,2015,Estimated,36.17,44702385,viz_men_age,Percentage who have had their cholesterol measured,Men,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Urban Men,2015,Estimated,73.37,90677744,viz_sex_area,Percentage who have had their cholesterol measured,Men,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Rural Men,2015,Estimated,53.28,65848578,viz_sex_area,Percentage who have had their cholesterol measured,Men,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Urban Women,2015,Estimated,21.43,26485267,viz_sex_area,Percentage who have had their cholesterol measured,Women,73.37
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Rural Women,2015,Estimated,56.52,69852884,viz_sex_area,Percentage who have had their cholesterol measured,Women,73.37
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 1,2015,Estimated,83.01,102591788,viz_age_area,Percentage who have had their cholesterol measured,Urban,29.75
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 1,2015,Estimated,29.75,36767928,viz_age_area,Percentage who have had their cholesterol measured,Rural,14.51
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 2,2015,Estimated,14.51,17932862,viz_age_area,Percentage who have had their cholesterol measured,Urban,29.75
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 2,2015,Estimated,10.4,12853326,viz_age_area,Percentage who have had their cholesterol measured,Rural,14.51
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 3,2015,Estimated,36.23,44776539,viz_age_area,Percentage who have had their cholesterol measured,Urban,29.75
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 3,2015,Estimated,73.66,91036154,viz_age_area,Percentage who have had their cholesterol measured,Rural,14.51
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 4,2015,Estimated,91.46,113035116,viz_age_area,Percentage who have had their cholesterol measured,Urban,29.75
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 4,2015,Estimated,7.51,9281585,viz_age_area,Percentage who have had their cholesterol measured,Rural,14.51
Percentage who have had their cholesterol measured,Never measured,Total,Total,2015,Lower Bound,80.43,99403175,,,"",
Percentage who have had their cholesterol measured,Never measured,Sex,Men,2015,Lower Bound,23.56,29117727,,,Total,80.43
Percentage who have had their cholesterol measured,Never measured,Sex,Women,2015,Lower Bound,36.17,44702385,,,Total,80.43
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 1,2015,Lower Bound,73.37,90677744,,,Total,80.43
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 2,2015,Lower Bound,53.28,65848578,,,Total,80.43
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 3,2015,Lower Bound,21.43,26485267,,,Total,80.43
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 4,2015,Lower Bound,56.52,69852884,,,Total,80.43
Percentage who have had their cholesterol measured,Never measured,Area,Urban,2015,Lower Bound,83.01,102591788,,,Total,80.43
Percentage who have had their cholesterol measured,Never measured,Area,Rural,2015,Lower Bound,29.75,36767928,,,Total,80.43
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 1,2015,Lower Bound,14.51,17932862,,,Women,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 2,2015,Lower Bound,10.4,12853326,,,Women,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 3,2015,Lower Bound,36.23,44776539,,,Women,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 4,2015,Lower Bound,73.66,91036154,,,Women,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 1,2015,Lower Bound,91.46,113035116,,,Men,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 2,2015,Lower Bound,7.51,9281585,,,Men,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 3,2015,Lower Bound,80.43,99403175,,,Men,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 4,2015,Lower Bound,23.56,29117727,,,Men,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Urban Men,2015,Lower Bound,36.17,44702385,,,Men,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Rural Men,2015,Lower Bound,73.37,90677744,,,Men,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Urban Women,2015,Lower Bound,53.28,65848578,,,Women,36.17
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Rural Women,2015,Lower Bound,21.43,26485267,,,Women,36.17
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 1,2015,Lower Bound,56.52,69852884,,,Urban,83.01
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 1,2015,Lower Bound,83.01,102591788,,,Rural,29.75
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 2,2015,Lower Bound,29.75,36767928,,,Urban,83.01
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 2,2015,Lower Bound,14.51,17932862,,,Rural,29.75
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 3,2015,Lower Bound,10.4,12853326,,,Urban,83.01
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 3,2015,Lower Bound,36.23,44776539,,,Rural,29.75
Percentage who have had their cholesterol measured,Never measured,Age by Area,Urban Age Group 4,2015,Lower Bound,73.66,91036154,,,Urban,83.01
Percentage who have had their cholesterol measured,Never measured,Age by Area,Rural Age Group 4,2015,Lower Bound,91.46,113035116,,,Rural,29.75
Percentage who have had their cholesterol measured,Never measured,Total,Total,2015,Upper Bound,7.51,9281585,,,"",
Percentage who have had their cholesterol measured,Never measured,Sex,Men,2015,Upper Bound,80.43,99403175,,,Total,7.51
Percentage who have had their cholesterol measured,Never measured,Sex,Women,2015,Upper Bound,23.56,29117727,,,Total,7.51
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 1,2015,Upper Bound,36.17,44702385,,,Total,7.51
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 2,2015,Upper Bound,73.37,90677744,,,Total,7.51
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 3,2015,Upper Bound,53.28,65848578,,,Total,7.51
Percentage who have had their cholesterol measured,Never measured,Age,Age Group 4,2015,Upper Bound,21.43,26485267,,,Total,7.51
Percentage who have had their cholesterol measured,Never measured,Area,Urban,2015,Upper Bound,56.52,69852884,,,Total,7.51
Percentage who have had their cholesterol measured,Never measured,Area,Rural,2015,Upper Bound,83.01,102591788,,,Total,7.51
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 1,2015,Upper Bound,29.75,36767928,,,Women,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 2,2015,Upper Bound,14.51,17932862,,,Women,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 3,2015,Upper Bound,10.4,12853326,,,Women,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Women Age Group 4,2015,Upper Bound,36.23,44776539,,,Women,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 1,2015,Upper Bound,73.66,91036154,,,Men,80.43
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 2,2015,Upper Bound,91.46,113035116,,,Men,80.43
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 3,2015,Upper Bound,7.51,9281585,,,Men,80.43
Percentage who have had their cholesterol measured,Never measured,Sex by Age,Men Age Group 4,2015,Upper Bound,80.43,99403175,,,Men,80.43
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Urban Men,2015,Upper Bound,23.56,29117727,,,Men,80.43
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Rural Men,2015,Upper Bound,36.17,44702385,,,Men,80.43
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Urban Women,2015,Upper Bound,73.37,90677744,,,Women,23.56
Percentage who have had their cholesterol measured,Never measured,Sex by Area,Rural Women,2015,Upper Bound,53.28,65848578,,,Women,23.56
