Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Mean HDL (mg/dl),Mean HDL,Age,18-29,2015,Estimated,39.5,,viz_age,Mean HDL (mmol/L or mg/dl),,18-29 - Mean HDL,Total,11.37
Mean HDL (mg/dl),Mean HDL,Age,18-29,2015,Lower Bound,37.8,,,,,18-29 - Mean HDL,Total,5.097
Mean HDL (mg/dl),Mean HDL,Age,18-29,2015,Upper Bound,41.2,,,,,18-29 - Mean HDL,Total,9.452
Mean HDL (mg/dl),Mean HDL,Age,30-49,2015,Estimated,39.7,,viz_age,Mean HDL (mmol/L or mg/dl),,30-49 - Mean HDL,Total,11.37
Mean HDL (mg/dl),Mean HDL,Age,30-49,2015,Lower Bound,38.7,,,,,30-49 - Mean HDL,Total,5.097
Mean HDL (mg/dl),Mean HDL,Age,30-49,2015,Upper Bound,40.7,,,,,30-49 - Mean HDL,Total,9.452
Mean HDL (mg/dl),Mean HDL,Age,50-69,2015,Estimated,40.3,,viz_age,Mean HDL (mmol/L or mg/dl),,50-69 - Mean HDL,Total,11.37
Mean HDL (mg/dl),Mean HDL,Age,50-69,2015,Lower Bound,39.1,,,,,50-69 - Mean HDL,Total,5.097
Mean HDL (mg/dl),Mean HDL,Age,50-69,2015,Upper Bound,41.6,,,,,50-69 - Mean HDL,Total,9.452
Mean HDL (mg/dl),Mean HDL,Age, 18-69,2015,Estimated,39.8,,viz_age,Mean HDL (mmol/L or mg/dl),, 18-69 - Mean HDL,Total,11.37
Mean HDL (mg/dl),Mean HDL,Age, 18-69,2015,Lower Bound,38.9,,,,, 18-69 - Mean HDL,Total,5.097
Mean HDL (mg/dl),Mean HDL,Age, 18-69,2015,Upper Bound,40.7,,,,, 18-69 - Mean HDL,Total,9.452
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,Mean HDL (mmol/L or mg/dl),,Rural 18-29 - Mean HDL,Rural,6.28
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural 18-29,2015,Lower Bound,,,,,,Rural 18-29 - Mean HDL,Rural,8.603
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural 18-29,2015,Upper Bound,,,,,,Rural 18-29 - Mean HDL,Rural,11.48
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,Mean HDL (mmol/L or mg/dl),,Rural 30-49 - Mean HDL,Rural,6.28
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Mean HDL,Rural,8.603
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Mean HDL,Rural,8.603
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,Mean HDL (mmol/L or mg/dl),,Rural 50-69 - Mean HDL,Rural,6.28
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural 50-69,2015,Lower Bound,,,,,,Rural 50-69 - Mean HDL,Rural,8.603
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural 50-69,2015,Upper Bound,,,,,,Rural 50-69 - Mean HDL,Rural,11.48
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,Mean HDL (mmol/L or mg/dl),,Rural  18-69 - Mean HDL,Rural,6.28
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Mean HDL,Rural,8.603
Mean HDL (mg/dl),Mean HDL,Age by Area,Rural  18-69,2015,Upper Bound,,,,,,Rural  18-69 - Mean HDL,Rural,11.48
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,Mean HDL (mmol/L or mg/dl),,Urban 18-29 - Mean HDL,Urban,8.603
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban 18-29,2015,Lower Bound,,,,,,Urban 18-29 - Mean HDL,Urban,11.48
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban 18-29,2015,Upper Bound,,,,,,Urban 18-29 - Mean HDL,Urban,7.802
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,Mean HDL (mmol/L or mg/dl),,Urban 30-49 - Mean HDL,Urban,8.603
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban 30-49,2015,Lower Bound,,,,,,Urban 30-49 - Mean HDL,Urban,11.48
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban 30-49,2015,Upper Bound,,,,,,Urban 30-49 - Mean HDL,Urban,7.802
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,Mean HDL (mmol/L or mg/dl),,Urban 50-69 - Mean HDL,Urban,8.603
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban 50-69,2015,Lower Bound,,,,,,Urban 50-69 - Mean HDL,Urban,11.48
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban 50-69,2015,Upper Bound,,,,,,Urban 50-69 - Mean HDL,Urban,7.802
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,Mean HDL (mmol/L or mg/dl),,Urban  18-69 - Mean HDL,Urban,8.603
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban  18-69,2015,Lower Bound,,,,,,Urban  18-69 - Mean HDL,Urban,11.48
Mean HDL (mg/dl),Mean HDL,Age by Area,Urban  18-69,2015,Upper Bound,,,,,,Urban  18-69 - Mean HDL,Urban,7.802
Mean HDL (mg/dl),Mean HDL,Area,Rural,2015,Estimated,37.81,,viz_area,Mean HDL (mmol/L or mg/dl),,Rural - Mean HDL,Total,11.37
Mean HDL (mg/dl),Mean HDL,Area,Rural,2015,Lower Bound,36.96,,,,,Rural - Mean HDL,Total,5.097
Mean HDL (mg/dl),Mean HDL,Area,Rural,2015,Upper Bound,38.67,,,,,Rural - Mean HDL,Total,9.452
Mean HDL (mg/dl),Mean HDL,Area,Urban,2015,Estimated,41.79,,viz_area,Mean HDL (mmol/L or mg/dl),,Urban - Mean HDL,Total,11.37
Mean HDL (mg/dl),Mean HDL,Area,Urban,2015,Lower Bound,40.85,,,,,Urban - Mean HDL,Total,5.097
Mean HDL (mg/dl),Mean HDL,Area,Urban,2015,Upper Bound,42.74,,,,,Urban - Mean HDL,Total,9.452
Mean HDL (mg/dl),Mean HDL,Sex,Men,2015,Estimated,36.6,,viz_sex,Mean HDL (mmol/L or mg/dl),table_total,Men - Mean HDL,Total,11.37
Mean HDL (mg/dl),Mean HDL,Sex,Men,2015,Lower Bound,35.6,,,,table_total,Men - Mean HDL,Total,5.097
Mean HDL (mg/dl),Mean HDL,Sex,Men,2015,Upper Bound,37.7,,,,table_total,Men - Mean HDL,Total,9.452
Mean HDL (mg/dl),Mean HDL,Sex,Women,2015,Estimated,42.9,,viz_sex,Mean HDL (mmol/L or mg/dl),table_total,Women - Mean HDL,Total,11.37
Mean HDL (mg/dl),Mean HDL,Sex,Women,2015,Lower Bound,41.7,,,,table_total,Women - Mean HDL,Total,5.097
Mean HDL (mg/dl),Mean HDL,Sex,Women,2015,Upper Bound,44,,,,table_total,Women - Mean HDL,Total,9.452
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men 18-29,2015,Estimated,34.2,,viz_men_age,Mean HDL (mmol/L or mg/dl),,Men 18-29 - Mean HDL,Men,4.794
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men 18-29,2015,Lower Bound,32.5,,,,,Men 18-29 - Mean HDL,Men,11.37
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men 18-29,2015,Upper Bound,35.9,,,,,Men 18-29 - Mean HDL,Men,5.097
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men 30-49,2015,Estimated,37.3,,viz_men_age,Mean HDL (mmol/L or mg/dl),,Men 30-49 - Mean HDL,Men,4.794
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men 30-49,2015,Lower Bound,35.8,,,,,Men 30-49 - Mean HDL,Men,11.37
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men 30-49,2015,Upper Bound,38.9,,,,,Men 30-49 - Mean HDL,Men,5.097
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men 50-69,2015,Estimated,38.8,,viz_men_age,Mean HDL (mmol/L or mg/dl),,Men 50-69 - Mean HDL,Men,4.794
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men 50-69,2015,Lower Bound,37.2,,,,,Men 50-69 - Mean HDL,Men,11.37
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men 50-69,2015,Upper Bound,40.4,,,,,Men 50-69 - Mean HDL,Men,5.097
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men  18-69,2015,Estimated,36.6,,viz_men_age,Mean HDL (mmol/L or mg/dl),,Men  18-69 - Mean HDL,Men,4.794
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men  18-69,2015,Lower Bound,35.6,,,,,Men  18-69 - Mean HDL,Men,11.37
Mean HDL (mg/dl),Mean HDL,Sex by Age,Men  18-69,2015,Upper Bound,37.7,,,,,Men  18-69 - Mean HDL,Men,5.097
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women 18-29,2015,Estimated,44.9,,viz_women_age,Mean HDL (mmol/L or mg/dl),,Women 18-29 - Mean HDL,Women,1.289
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women 18-29,2015,Lower Bound,42.4,,,,,Women 18-29 - Mean HDL,Women,4.794
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women 18-29,2015,Upper Bound,47.5,,,,,Women 18-29 - Mean HDL,Women,11.37
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women 30-49,2015,Estimated,42.1,,viz_women_age,Mean HDL (mmol/L or mg/dl),,Women 30-49 - Mean HDL,Women,1.289
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women 30-49,2015,Lower Bound,40.9,,,,,Women 30-49 - Mean HDL,Women,4.794
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women 30-49,2015,Upper Bound,43.2,,,,,Women 30-49 - Mean HDL,Women,11.37
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women 50-69,2015,Estimated,41.6,,viz_women_age,Mean HDL (mmol/L or mg/dl),,Women 50-69 - Mean HDL,Women,1.289
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women 50-69,2015,Lower Bound,40,,,,,Women 50-69 - Mean HDL,Women,4.794
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women 50-69,2015,Upper Bound,43.3,,,,,Women 50-69 - Mean HDL,Women,11.37
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women  18-69,2015,Estimated,42.9,,viz_women_age,Mean HDL (mmol/L or mg/dl),,Women  18-69 - Mean HDL,Women,1.289
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women  18-69,2015,Lower Bound,41.7,,,,,Women  18-69 - Mean HDL,Women,4.794
Mean HDL (mg/dl),Mean HDL,Sex by Age,Women  18-69,2015,Upper Bound,44,,,,,Women  18-69 - Mean HDL,Women,11.37
Mean HDL (mg/dl),Mean HDL,Sex by Area,Rural Men,2015,Estimated,,,viz_sex_area,Mean HDL (mmol/L or mg/dl),,Rural Men - Mean HDL,Men,4.794
Mean HDL (mg/dl),Mean HDL,Sex by Area,Rural Men,2015,Lower Bound,,,,,,Rural Men - Mean HDL,Men,11.37
Mean HDL (mg/dl),Mean HDL,Sex by Area,Rural Men,2015,Upper Bound,,,,,,Rural Men - Mean HDL,Men,5.097
Mean HDL (mg/dl),Mean HDL,Sex by Area,Rural Women,2015,Estimated,,,viz_sex_area,Mean HDL (mmol/L or mg/dl),,Rural Women - Mean HDL,Women,1.289
Mean HDL (mg/dl),Mean HDL,Sex by Area,Rural Women,2015,Lower Bound,,,,,,Rural Women - Mean HDL,Women,4.794
