Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Percentage who had their blood glucose measured,Never measured,Total,Total,2010,Estimated,14.96,18489015,viz_total,Percentage who had their blood glucose measured,table_total_2010,1.Total - Never measured,,
Percentage who had their blood glucose measured,Never measured,Sex,Men,2010,Estimated,16.53,20429373,viz_sex_2010,Percentage who had their blood glucose measured,table_total_2010,Men - Never measured,Total,14.96
Percentage who had their blood glucose measured,Never measured,Sex,Women,2010,Estimated,70.98,87723951,viz_sex_2010,Percentage who had their blood glucose measured,table_total_2010,Women - Never measured,Total,14.96
Percentage who had their blood glucose measured,Never measured,Age,Age Group 1,2010,Estimated,15.56,19230553,viz_age_2010,Percentage who had their blood glucose measured,,Age Group 1 - Never measured,Total,14.96
Percentage who had their blood glucose measured,Never measured,Age,Age Group 2,2010,Estimated,75.44,93236050,viz_age_2010,Percentage who had their blood glucose measured,,Age Group 2 - Never measured,Total,14.96
Percentage who had their blood glucose measured,Never measured,Age,Age Group 3,2010,Estimated,96.69,119498856,viz_age_2010,Percentage who had their blood glucose measured,,Age Group 3 - Never measured,Total,14.96
Percentage who had their blood glucose measured,Never measured,Age,Age Group 4,2010,Estimated,49.59,61288119,viz_age_2010,Percentage who had their blood glucose measured,,Age Group 4 - Never measured,Total,14.96
Percentage who had their blood glucose measured,Never measured,Area,Urban,2010,Estimated,66.89,82669133,viz_area_2010,Percentage who had their blood glucose measured,,Urban - Never measured,Total,14.96
Percentage who had their blood glucose measured,Never measured,Area,Rural,2010,Estimated,69.48,85870105,viz_area_2010,Percentage who had their blood glucose measured,,Rural - Never measured,Total,14.96
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 1,2010,Estimated,2.477,3061316,viz_women_age_2010,Percentage who had their blood glucose measured,,Women Age Group 1 - Never measured,Women,70.98
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 2,2010,Estimated,4.704,5813658,viz_women_age_2010,Percentage who had their blood glucose measured,,Women Age Group 2 - Never measured,Women,70.98
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 3,2010,Estimated,38.1,47087666,viz_women_age_2010,Percentage who had their blood glucose measured,,Women Age Group 3 - Never measured,Women,70.98
Percentage who had their blood glucose measured,Never measured,Sex by Age,Women Age Group 4,2010,Estimated,14.96,18489015,viz_women_age_2010,Percentage who had their blood glucose measured,,Women Age Group 4 - Never measured,Women,70.98
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 1,2010,Estimated,16.53,20429373,viz_men_age_2010,Percentage who had their blood glucose measured,,Men Age Group 1 - Never measured,Men,16.53
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 2,2010,Estimated,70.98,87723951,viz_men_age_2010,Percentage who had their blood glucose measured,,Men Age Group 2 - Never measured,Men,16.53
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 3,2010,Estimated,15.56,19230553,viz_men_age_2010,Percentage who had their blood glucose measured,,Men Age Group 3 - Never measured,Men,16.53
Percentage who had their blood glucose measured,Never measured,Sex by Age,Men Age Group 4,2010,Estimated,75.44,93236050,viz_men_age_2010,Percentage who had their blood glucose measured,,Men Age Group 4 - Never measured,Men,16.53
Percentage who had their blood glucose measured,Never measured,Sex by Area,Urban Men,2010,Estimated,96.69,119498856,viz_sex_area_2010,Percentage who had their blood glucose measured,,Urban Men - Never measured,Men,16.53
Percentage who had their blood glucose measured,Never measured,Sex by Area,Rural Men,2010,Estimated,49.59,61288119,viz_sex_area_2010,Percentage who had their blood glucose measured,,Rural Men - Never measured,Men,16.53
Percentage who had their blood glucose measured,Never measured,Sex by Area,Urban Women,2010,Estimated,66.89,82669133,viz_sex_area_2010,Percentage who had their blood glucose measured,,Urban Women - Never measured,Women,70.98
Percentage who had their blood glucose measured,Never measured,Sex by Area,Rural Women,2010,Estimated,69.48,85870105,viz_sex_area_2010,Percentage who had their blood glucose measured,,Rural Women - Never measured,Women,70.98
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 1,2010,Estimated,2.477,3061316,viz_age_area_2010,Percentage who had their blood glucose measured,,Urban Age Group 1 - Never measured,Urban,66.89
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 1,2010,Estimated,4.704,5813658,viz_age_area_2010,Percentage who had their blood glucose measured,,Rural Age Group 1 - Never measured,Rural,69.48
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 2,2010,Estimated,38.1,47087666,viz_age_area_2010,Percentage who had their blood glucose measured,,Urban Age Group 2 - Never measured,Urban,66.89
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 2,2010,Estimated,14.96,18489015,viz_age_area_2010,Percentage who had their blood glucose measured,,Rural Age Group 2 - Never measured,Rural,69.48
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 3,2010,Estimated,16.53,20429373,viz_age_area_2010,Percentage who had their blood glucose measured,,Urban Age Group 3 - Never measured,Urban,66.89
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 3,2010,Estimated,70.98,87723951,viz_age_area_2010,Percentage who had their blood glucose measured,,Rural Age Group 3 - Never measured,Rural,69.48
Percentage who had their blood glucose measured,Never measured,Age by Area,Urban Age Group 4,2010,Estimated,15.56,19230553,viz_age_area_2010,Percentage who had their blood glucose measured,,Urban Age Group 4 - Never measured,Urban,66.89
Percentage who had their blood glucose measured,Never measured,Age by Area,Rural Age Group 4,2010,Estimated,75.44,93236050,viz_age_area_2010,Percentage who had their blood glucose measured,,Rural Age Group 4 - Never measured,Rural,69.48
Percentage who had their blood glucose measured,Never measured,Total,Total,2010,Lower Bound,96.69,119498856,,,table_total_2010,1.Total - Never measured,,
Percentage who had their blood glucose measured,Never measured,Sex,Men,2010,Lower Bound,49.59,61288119,,,table_total_2010,Men - Never measured,Total,96.69
Percentage who had their blood glucose measured,Never measured,Sex,Women,2010,Lower Bound,66.89,82669133,,,table_total_2010,Women - Never measured,Total,96.69
Percentage who had their blood glucose measured,Never measured,Age,Age Group 1,2010,Lower Bound,69.48,85870105,,,,Age Group 1 - Never measured,Total,96.69
Percentage who had their blood glucose measured,Never measured,Age,Age Group 2,2010,Lower Bound,2.477,3061316,,,,Age Group 2 - Never measured,Total,96.69
