Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age,18-29,2015,Estimated,79.1,,viz_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,18-29 - Mean FBG,Total,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age,18-29,2015,Lower Bound,77.3,,,,,18-29 - Mean FBG,Total,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age,18-29,2015,Upper Bound,80.9,,,,,18-29 - Mean FBG,Total,4.085
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age,30-49,2015,Estimated,85.4,,viz_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,30-49 - Mean FBG,Total,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age,30-49,2015,Lower Bound,83.6,,,,,30-49 - Mean FBG,Total,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age,30-49,2015,Upper Bound,87.1,,,,,30-49 - Mean FBG,Total,4.085
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age,50-69,2015,Estimated,92,,viz_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,50-69 - Mean FBG,Total,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age,50-69,2015,Lower Bound,89.8,,,,,50-69 - Mean FBG,Total,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age,50-69,2015,Upper Bound,94.2,,,,,50-69 - Mean FBG,Total,4.085
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age, 18-69,2015,Estimated,85,,viz_age,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",, 18-69 - Mean FBG,Total,1.79
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age, 18-69,2015,Lower Bound,83.7,,,,, 18-69 - Mean FBG,Total,6.056
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age, 18-69,2015,Upper Bound,86.4,,,,, 18-69 - Mean FBG,Total,4.085
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Rural 18-29 - Mean FBG,Rural,2.417
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural 18-29,2015,Lower Bound,,,,,,Rural 18-29 - Mean FBG,Rural,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural 18-29,2015,Upper Bound,,,,,,Rural 18-29 - Mean FBG,Rural,3.016
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Rural 30-49 - Mean FBG,Rural,2.417
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Mean FBG,Rural,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural 30-49,2015,Upper Bound,,,,,,Rural 30-49 - Mean FBG,Rural,3.016
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Rural 50-69 - Mean FBG,Rural,2.417
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural 50-69,2015,Lower Bound,,,,,,Rural 50-69 - Mean FBG,Rural,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural 50-69,2015,Upper Bound,,,,,,Rural 50-69 - Mean FBG,Rural,3.016
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Rural  18-69 - Mean FBG,Rural,2.417
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Mean FBG,Rural,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Mean FBG,Rural,3.077
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",,Urban 18-29 - Mean FBG,Urban,1.02
"Mean fasting blood glucose, including those currently on medication for raised blood glucose (mg/dl)",Mean FBG,Age by Area,Urban 18-29,2015,Lower Bound,,,,,,Urban 18-29 - Mean FBG,Urban,1.79
