Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Average number of days fruit is consumed in a typical week,Average days with fruits,Total,Total,2015,Estimated,1.262,,viz_total,Average number of days fruit is consumed in a typical week,"",
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Men,2015,Estimated,11.43,,viz_sex,Average number of days fruit is consumed in a typical week,Total,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex,Women,2015,Estimated,6.592,,viz_sex,Average number of days fruit is consumed in a typical week,Total,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 1,2015,Estimated,11.76,,viz_age,Average number of days fruit is consumed in a typical week,Total,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 2,2015,Estimated,7.268,,viz_age,Average number of days fruit is consumed in a typical week,Total,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 3,2015,Estimated,6.925,,viz_age,Average number of days fruit is consumed in a typical week,Total,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,Age Group 4,2015,Estimated,4.239,,viz_age,Average number of days fruit is consumed in a typical week,Total,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Urban,2015,Estimated,11.12,,viz_area,Average number of days fruit is consumed in a typical week,Total,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Area,Rural,2015,Estimated,9.015,,viz_area,Average number of days fruit is consumed in a typical week,Total,1.262
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 1,2015,Estimated,2.188,,viz_women_age,Average number of days fruit is consumed in a typical week,Women,6.592
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 2,2015,Estimated,2.013,,viz_women_age,Average number of days fruit is consumed in a typical week,Women,6.592
Average number of days fruit is consumed in a typical week,Average days with fruits,Sex by Age,Women Age Group 3,2015,Estimated,10.97,,viz_women_age,Average number of days fruit is consumed in a typical week,Women,6.592
