Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,18-29,2015,Estimated,4.1,,viz_age,Average number of days fruit is consumed in a typical week,,18-29 - Average days with fruits,Total,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,18-29,2015,Lower Bound,3.9,,,,,18-29 - Average days with fruits,Total,4.818
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,18-29,2015,Upper Bound,4.4,,,,,18-29 - Average days with fruits,Total,6.652
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,30-49,2015,Estimated,4,,viz_age,Average number of days fruit is consumed in a typical week,,30-49 - Average days with fruits,Total,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,30-49,2015,Lower Bound,3.8,,,,,30-49 - Average days with fruits,Total,4.818
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,30-49,2015,Upper Bound,4.1,,,,,30-49 - Average days with fruits,Total,6.652
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,50-69,2015,Estimated,3.9,,viz_age,Average number of days fruit is consumed in a typical week,,50-69 - Average days with fruits,Total,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,50-69,2015,Lower Bound,3.8,,,,,50-69 - Average days with fruits,Total,4.818
Average number of days fruit is consumed in a typical week,Average days with fruits,Age,50-69,2015,Upper Bound,4.1,,,,,50-69 - Average days with fruits,Total,6.652
Average number of days fruit is consumed in a typical week,Average days with fruits,Age, 18-69,2015,Estimated,4,,viz_age,Average number of days fruit is consumed in a typical week,, 18-69 - Average days with fruits,Total,10.07
Average number of days fruit is consumed in a typical week,Average days with fruits,Age, 18-69,2015,Lower Bound,3.9,,,,, 18-69 - Average days with fruits,Total,4.818
Average number of days fruit is consumed in a typical week,Average days with fruits,Age, 18-69,2015,Upper Bound,4.2,,,,, 18-69 - Average days with fruits,Total,6.652
Average number of days fruit is consumed in a typical week,Average days with fruits,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,Average number of days fruit is consumed in a typical week,,Rural 18-29 - Average days with fruits,Rural,1.33
