Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Percentage who have had their blood pressure measured,Never measured,Total,Total,2015,Estimated,30.2,37324082,viz_total,Percentage who have had their blood pressure measured,"",
Percentage who have had their blood pressure measured,Never measured,Sex,Men,2015,Estimated,57.06,70520268,viz_sex,Percentage who have had their blood pressure measured,Total,30.2
Percentage who have had their blood pressure measured,Never measured,Sex,Women,2015,Estimated,1.558,1925527,viz_sex,Percentage who have had their blood pressure measured,Total,30.2
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 1,2015,Estimated,39.66,49015665,viz_age,Percentage who have had their blood pressure measured,Total,30.2
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 2,2015,Estimated,15.07,18624964,viz_age,Percentage who have had their blood pressure measured,Total,30.2
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 3,2015,Estimated,21.68,26794241,viz_age,Percentage who have had their blood pressure measured,Total,30.2
Percentage who have had their blood pressure measured,Never measured,Age,Age Group 4,2015,Estimated,9.56,11815173,viz_age,Percentage who have had their blood pressure measured,Total,30.2
Percentage who have had their blood pressure measured,Never measured,Area,Urban,2015,Estimated,2.651,3276362,viz_area,Percentage who have had their blood pressure measured,Total,30.2
Percentage who have had their blood pressure measured,Never measured,Area,Rural,2015,Estimated,15.85,19588963,viz_area,Percentage who have had their blood pressure measured,Total,30.2
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 1,2015,Estimated,18.1,22369731,viz_women_age,Percentage who have had their blood pressure measured,Women,1.558
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 2,2015,Estimated,50.23,62079093,viz_women_age,Percentage who have had their blood pressure measured,Women,1.558
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 3,2015,Estimated,90.62,111996963,viz_women_age,Percentage who have had their blood pressure measured,Women,1.558
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Women Age Group 4,2015,Estimated,10.29,12717377,viz_women_age,Percentage who have had their blood pressure measured,Women,1.558
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 1,2015,Estimated,30.2,37324082,viz_men_age,Percentage who have had their blood pressure measured,Men,57.06
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 2,2015,Estimated,57.06,70520268,viz_men_age,Percentage who have had their blood pressure measured,Men,57.06
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 3,2015,Estimated,1.558,1925527,viz_men_age,Percentage who have had their blood pressure measured,Men,57.06
Percentage who have had their blood pressure measured,Never measured,Sex by Age,Men Age Group 4,2015,Estimated,39.66,49015665,viz_men_age,Percentage who have had their blood pressure measured,Men,57.06
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Urban Men,2015,Estimated,15.07,18624964,viz_sex_area,Percentage who have had their blood pressure measured,Men,57.06
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Rural Men,2015,Estimated,21.68,26794241,viz_sex_area,Percentage who have had their blood pressure measured,Men,57.06
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Urban Women,2015,Estimated,9.56,11815173,viz_sex_area,Percentage who have had their blood pressure measured,Women,1.558
Percentage who have had their blood pressure measured,Never measured,Sex by Area,Rural Women,2015,Estimated,2.651,3276362,viz_sex_area,Percentage who have had their blood pressure measured,Women,1.558
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 1,2015,Estimated,15.85,19588963,viz_age_area,Percentage who have had their blood pressure measured,Urban,2.651
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 1,2015,Estimated,18.1,22369731,viz_age_area,Percentage who have had their blood pressure measured,Rural,15.85
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 2,2015,Estimated,50.23,62079093,viz_age_area,Percentage who have had their blood pressure measured,Urban,2.651
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 2,2015,Estimated,90.62,111996963,viz_age_area,Percentage who have had their blood pressure measured,Rural,15.85
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 3,2015,Estimated,10.29,12717377,viz_age_area,Percentage who have had their blood pressure measured,Urban,2.651
Percentage who have had their blood pressure measured,Never measured,Age by Area,Rural Age Group 3,2015,Estimated,30.2,37324082,viz_age_area,Percentage who have had their blood pressure measured,Rural,15.85
Percentage who have had their blood pressure measured,Never measured,Age by Area,Urban Age Group 4,2015,Estimated,57.06,70520268,viz_age_area,Percentage who have had their blood pressure measured,Urban,2.651
