Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,18-29,2015,Estimated,71.9,,viz_age,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,18-29 - Mean DBP,Total,6.272
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,18-29,2015,Lower Bound,70.8,,,,,18-29 - Mean DBP,Total,5.672
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,18-29,2015,Upper Bound,73.1,,,,,18-29 - Mean DBP,Total,11.18
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,30-49,2015,Estimated,77.8,,viz_age,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,30-49 - Mean DBP,Total,6.272
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,30-49,2015,Lower Bound,77,,,,,30-49 - Mean DBP,Total,5.672
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,30-49,2015,Upper Bound,78.6,,,,,30-49 - Mean DBP,Total,11.18
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,50-69,2015,Estimated,82.8,,viz_age,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,50-69 - Mean DBP,Total,6.272
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,50-69,2015,Lower Bound,81.9,,,,,50-69 - Mean DBP,Total,5.672
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age,50-69,2015,Upper Bound,83.7,,,,,50-69 - Mean DBP,Total,11.18
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age, 18-69,2015,Estimated,77.1,,viz_age,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",, 18-69 - Mean DBP,Total,6.272
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age, 18-69,2015,Lower Bound,76.5,,,,, 18-69 - Mean DBP,Total,5.672
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age, 18-69,2015,Upper Bound,77.7,,,,, 18-69 - Mean DBP,Total,11.18
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,Rural 18-29 - Mean DBP,Rural,12.11
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 18-29,2015,Lower Bound,,,,,,Rural 18-29 - Mean DBP,Rural,12.93
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 18-29,2015,Upper Bound,,,,,,Rural 18-29 - Mean DBP,Rural,9.949
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,Rural 30-49 - Mean DBP,Rural,12.11
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Mean DBP,Rural,12.93
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 30-49,2015,Upper Bound,,,,,,Rural 30-49 - Mean DBP,Rural,9.949
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,Rural 50-69 - Mean DBP,Rural,12.11
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 50-69,2015,Lower Bound,,,,,,Rural 50-69 - Mean DBP,Rural,12.93
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural 50-69,2015,Upper Bound,,,,,,Rural 50-69 - Mean DBP,Rural,9.949
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,Rural  18-69 - Mean DBP,Rural,12.11
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Mean DBP,Rural,12.93
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Mean DBP,Rural,12.93
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,Urban 18-29 - Mean DBP,Urban,2.552
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 18-29,2015,Lower Bound,,,,,,Urban 18-29 - Mean DBP,Urban,9.443
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 18-29,2015,Upper Bound,,,,,,Urban 18-29 - Mean DBP,Urban,6.272
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,Urban 30-49 - Mean DBP,Urban,2.552
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 30-49,2015,Lower Bound,,,,,,Urban 30-49 - Mean DBP,Urban,9.443
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 30-49,2015,Upper Bound,,,,,,Urban 30-49 - Mean DBP,Urban,6.272
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",,Urban 50-69 - Mean DBP,Urban,2.552
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 50-69,2015,Lower Bound,,,,,,Urban 50-69 - Mean DBP,Urban,9.443
"Mean diastolic blood pressure - DBP (mmHg), including currently on medication for raised BP",Mean DBP,Age by Area,Urban 50-69,2015,Upper Bound,,,,,,Urban 50-69 - Mean DBP,Urban,6.272
