Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Percentage by BMI category,1.Underweight (<18.5),Total,Total,2015,Estimated,45.63,56393968,viz_total,Percentage by BMI category,"",
Percentage by BMI category,1.Underweight (<18.5),Sex,Men,2015,Estimated,39.89,49299921,viz_sex,Percentage by BMI category,Total,45.63
Percentage by BMI category,1.Underweight (<18.5),Sex,Women,2015,Estimated,14.14,17475580,viz_sex,Percentage by BMI category,Total,45.63
Percentage by BMI category,1.Underweight (<18.5),Age,Age Group 1,2015,Estimated,3.455,4270023,viz_age,Percentage by BMI category,Total,45.63
Percentage by BMI category,1.Underweight (<18.5),Age,Age Group 2,2015,Estimated,78.21,96659484,viz_age,Percentage by BMI category,Total,45.63
Percentage by BMI category,1.Underweight (<18.5),Age,Age Group 3,2015,Estimated,16.01,19786707,viz_age,Percentage by BMI category,Total,45.63
Percentage by BMI category,1.Underweight (<18.5),Age,Age Group 4,2015,Estimated,24.03,29698599,viz_age,Percentage by BMI category,Total,45.63
Percentage by BMI category,1.Underweight (<18.5),Area,Urban,2015,Estimated,76.17,94138255,viz_area,Percentage by BMI category,Total,45.63
Percentage by BMI category,1.Underweight (<18.5),Area,Rural,2015,Estimated,89.55,110674553,viz_area,Percentage by BMI category,Total,45.63
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Women Age Group 1,2015,Estimated,69.02,85301593,viz_women_age,Percentage by BMI category,Women,14.14
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Women Age Group 2,2015,Estimated,9.257,11440696,viz_women_age,Percentage by BMI category,Women,14.14
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Women Age Group 3,2015,Estimated,45.63,56393968,viz_women_age,Percentage by BMI category,Women,14.14
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Women Age Group 4,2015,Estimated,39.89,49299921,viz_women_age,Percentage by BMI category,Women,14.14
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Men Age Group 1,2015,Estimated,14.14,17475580,viz_men_age,Percentage by BMI category,Men,39.89
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Men Age Group 2,2015,Estimated,3.455,4270023,viz_men_age,Percentage by BMI category,Men,39.89
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Men Age Group 3,2015,Estimated,78.21,96659484,viz_men_age,Percentage by BMI category,Men,39.89
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Men Age Group 4,2015,Estimated,16.01,19786707,viz_men_age,Percentage by BMI category,Men,39.89
Percentage by BMI category,1.Underweight (<18.5),Sex by Area,Urban Men,2015,Estimated,24.03,29698599,viz_sex_area,Percentage by BMI category,Men,39.89
Percentage by BMI category,1.Underweight (<18.5),Sex by Area,Rural Men,2015,Estimated,76.17,94138255,viz_sex_area,Percentage by BMI category,Men,39.89
Percentage by BMI category,1.Underweight (<18.5),Sex by Area,Urban Women,2015,Estimated,89.55,110674553,viz_sex_area,Percentage by BMI category,Women,14.14
Percentage by BMI category,1.Underweight (<18.5),Sex by Area,Rural Women,2015,Estimated,69.02,85301593,viz_sex_area,Percentage by BMI category,Women,14.14
Percentage by BMI category,1.Underweight (<18.5),Age by Area,Urban Age Group 1,2015,Estimated,9.257,11440696,viz_age_area,Percentage by BMI category,Urban,76.17
Percentage by BMI category,1.Underweight (<18.5),Age by Area,Rural Age Group 1,2015,Estimated,45.63,56393968,viz_age_area,Percentage by BMI category,Rural,89.55
Percentage by BMI category,1.Underweight (<18.5),Age by Area,Urban Age Group 2,2015,Estimated,39.89,49299921,viz_age_area,Percentage by BMI category,Urban,76.17
Percentage by BMI category,1.Underweight (<18.5),Age by Area,Rural Age Group 2,2015,Estimated,14.14,17475580,viz_age_area,Percentage by BMI category,Rural,89.55
Percentage by BMI category,1.Underweight (<18.5),Age by Area,Urban Age Group 3,2015,Estimated,3.455,4270023,viz_age_area,Percentage by BMI category,Urban,76.17
Percentage by BMI category,1.Underweight (<18.5),Age by Area,Rural Age Group 3,2015,Estimated,78.21,96659484,viz_age_area,Percentage by BMI category,Rural,89.55
Percentage by BMI category,1.Underweight (<18.5),Age by Area,Urban Age Group 4,2015,Estimated,16.01,19786707,viz_age_area,Percentage by BMI category,Urban,76.17
Percentage by BMI category,1.Underweight (<18.5),Age by Area,Rural Age Group 4,2015,Estimated,24.03,29698599,viz_age_area,Percentage by BMI category,Rural,89.55
Percentage by BMI category,1.Underweight (<18.5),Total,Total,2015,Lower Bound,76.17,94138255,,,"",
Percentage by BMI category,1.Underweight (<18.5),Sex,Men,2015,Lower Bound,89.55,110674553,,,Total,76.17
Percentage by BMI category,1.Underweight (<18.5),Sex,Women,2015,Lower Bound,69.02,85301593,,,Total,76.17
Percentage by BMI category,1.Underweight (<18.5),Age,Age Group 1,2015,Lower Bound,9.257,11440696,,,Total,76.17
Percentage by BMI category,1.Underweight (<18.5),Age,Age Group 2,2015,Lower Bound,45.63,56393968,,,Total,76.17
Percentage by BMI category,1.Underweight (<18.5),Age,Age Group 3,2015,Lower Bound,39.89,49299921,,,Total,76.17
Percentage by BMI category,1.Underweight (<18.5),Age,Age Group 4,2015,Lower Bound,14.14,17475580,,,Total,76.17
Percentage by BMI category,1.Underweight (<18.5),Area,Urban,2015,Lower Bound,3.455,4270023,,,Total,76.17
Percentage by BMI category,1.Underweight (<18.5),Area,Rural,2015,Lower Bound,78.21,96659484,,,Total,76.17
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Women Age Group 1,2015,Lower Bound,16.01,19786707,,,Women,69.02
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Women Age Group 2,2015,Lower Bound,24.03,29698599,,,Women,69.02
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Women Age Group 3,2015,Lower Bound,76.17,94138255,,,Women,69.02
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Women Age Group 4,2015,Lower Bound,89.55,110674553,,,Women,69.02
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Men Age Group 1,2015,Lower Bound,69.02,85301593,,,Men,89.55
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Men Age Group 2,2015,Lower Bound,9.257,11440696,,,Men,89.55
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Men Age Group 3,2015,Lower Bound,45.63,56393968,,,Men,89.55
Percentage by BMI category,1.Underweight (<18.5),Sex by Age,Men Age Group 4,2015,Lower Bound,39.89,49299921,,,Men,89.55
Percentage by BMI category,1.Underweight (<18.5),Sex by Area,Urban Men,2015,Lower Bound,14.14,17475580,,,Men,89.55
Percentage by BMI category,1.Underweight (<18.5),Sex by Area,Rural Men,2015,Lower Bound,3.455,4270023,,,Men,89.55
