Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Average BMI (kg/m2),Average BMI,Age,18-29,2015,Estimated,21.1,,viz_age,Average BMI (kg/m2),,18-29 - Average BMI,Total,1.055
Average BMI (kg/m2),Average BMI,Age,18-29,2015,Lower Bound,20.7,,,,,18-29 - Average BMI,Total,8.957
Average BMI (kg/m2),Average BMI,Age,18-29,2015,Upper Bound,21.4,,,,,18-29 - Average BMI,Total,4.341
Average BMI (kg/m2),Average BMI,Age,30-49,2015,Estimated,22.4,,viz_age,Average BMI (kg/m2),,30-49 - Average BMI,Total,1.055
Average BMI (kg/m2),Average BMI,Age,30-49,2015,Lower Bound,22.2,,,,,30-49 - Average BMI,Total,8.957
Average BMI (kg/m2),Average BMI,Age,30-49,2015,Upper Bound,22.6,,,,,30-49 - Average BMI,Total,4.341
Average BMI (kg/m2),Average BMI,Age,50-69,2015,Estimated,22.5,,viz_age,Average BMI (kg/m2),,50-69 - Average BMI,Total,1.055
Average BMI (kg/m2),Average BMI,Age,50-69,2015,Lower Bound,22.3,,,,,50-69 - Average BMI,Total,8.957
Average BMI (kg/m2),Average BMI,Age,50-69,2015,Upper Bound,22.8,,,,,50-69 - Average BMI,Total,4.341
Average BMI (kg/m2),Average BMI,Age, 18-69,2015,Estimated,22,,viz_age,Average BMI (kg/m2),, 18-69 - Average BMI,Total,1.055
Average BMI (kg/m2),Average BMI,Age, 18-69,2015,Lower Bound,21.8,,,,, 18-69 - Average BMI,Total,8.957
Average BMI (kg/m2),Average BMI,Age, 18-69,2015,Upper Bound,22.2,,,,, 18-69 - Average BMI,Total,4.341
Average BMI (kg/m2),Average BMI,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,Average BMI (kg/m2),,Rural 18-29 - Average BMI,Rural,11.49
Average BMI (kg/m2),Average BMI,Age by Area,Rural 18-29,2015,Lower Bound,,,,,,Rural 18-29 - Average BMI,Rural,4.436
Average BMI (kg/m2),Average BMI,Age by Area,Rural 18-29,2015,Upper Bound,,,,,,Rural 18-29 - Average BMI,Rural,1.055
Average BMI (kg/m2),Average BMI,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,Average BMI (kg/m2),,Rural 30-49 - Average BMI,Rural,11.49
Average BMI (kg/m2),Average BMI,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Average BMI,Rural,4.436
Average BMI (kg/m2),Average BMI,Age by Area,Rural 30-49,2015,Upper Bound,,,,,,Rural 30-49 - Average BMI,Rural,1.055
Average BMI (kg/m2),Average BMI,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,Average BMI (kg/m2),,Rural 50-69 - Average BMI,Rural,11.49
Average BMI (kg/m2),Average BMI,Age by Area,Rural 50-69,2015,Lower Bound,,,,,,Rural 50-69 - Average BMI,Rural,4.436
Average BMI (kg/m2),Average BMI,Age by Area,Rural 50-69,2015,Upper Bound,,,,,,Rural 50-69 - Average BMI,Rural,1.055
Average BMI (kg/m2),Average BMI,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,Average BMI (kg/m2),,Rural  18-69 - Average BMI,Rural,11.49
Average BMI (kg/m2),Average BMI,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average BMI,Rural,4.436
Average BMI (kg/m2),Average BMI,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average BMI,Rural,4.436
Average BMI (kg/m2),Average BMI,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,Average BMI (kg/m2),,Urban 18-29 - Average BMI,Urban,8.957
Average BMI (kg/m2),Average BMI,Age by Area,Urban 18-29,2015,Lower Bound,,,,,,Urban 18-29 - Average BMI,Urban,4.341
Average BMI (kg/m2),Average BMI,Age by Area,Urban 18-29,2015,Upper Bound,,,,,,Urban 18-29 - Average BMI,Urban,1.995
Average BMI (kg/m2),Average BMI,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,Average BMI (kg/m2),,Urban 30-49 - Average BMI,Urban,8.957
Average BMI (kg/m2),Average BMI,Age by Area,Urban 30-49,2015,Lower Bound,,,,,,Urban 30-49 - Average BMI,Urban,4.341
Average BMI (kg/m2),Average BMI,Age by Area,Urban 30-49,2015,Upper Bound,,,,,,Urban 30-49 - Average BMI,Urban,1.995
Average BMI (kg/m2),Average BMI,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,Average BMI (kg/m2),,Urban 50-69 - Average BMI,Urban,8.957
Average BMI (kg/m2),Average BMI,Age by Area,Urban 50-69,2015,Lower Bound,,,,,,Urban 50-69 - Average BMI,Urban,4.341
Average BMI (kg/m2),Average BMI,Age by Area,Urban 50-69,2015,Upper Bound,,,,,,Urban 50-69 - Average BMI,Urban,1.995
Average BMI (kg/m2),Average BMI,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,Average BMI (kg/m2),,Urban  18-69 - Average BMI,Urban,8.957
Average BMI (kg/m2),Average BMI,Age by Area,Urban  18-69,2015,Lower Bound,,,,,,Urban  18-69 - Average BMI,Urban,4.341
Average BMI (kg/m2),Average BMI,Age by Area,Urban  18-69,2015,Upper Bound,,,,,,Urban  18-69 - Average BMI,Urban,1.995
Average BMI (kg/m2),Average BMI,Area,Rural,2015,Estimated,21.7,,viz_area,Average BMI (kg/m2),,Rural - Average BMI,Total,1.055
Average BMI (kg/m2),Average BMI,Area,Rural,2015,Lower Bound,21.5,,,,,Rural - Average BMI,Total,8.957
Average BMI (kg/m2),Average BMI,Area,Rural,2015,Upper Bound,21.9,,,,,Rural - Average BMI,Total,4.341
Average BMI (kg/m2),Average BMI,Area,Urban,2015,Estimated,22.6,,viz_area,Average BMI (kg/m2),,Urban - Average BMI,Total,1.055
Average BMI (kg/m2),Average BMI,Area,Urban,2015,Lower Bound,22.3,,,,,Urban - Average BMI,Total,8.957
Average BMI (kg/m2),Average BMI,Area,Urban,2015,Upper Bound,22.9,,,,,Urban - Average BMI,Total,4.341
Average BMI (kg/m2),Average BMI,Sex,Men,2015,Estimated,22,,viz_sex,Average BMI (kg/m2),table_total,Men - Average BMI,Total,1.055
Average BMI (kg/m2),Average BMI,Sex,Men,2015,Lower Bound,21.8,,,,table_total,Men - Average BMI,Total,8.957
Average BMI (kg/m2),Average BMI,Sex,Men,2015,Upper Bound,22.3,,,,table_total,Men - Average BMI,Total,4.341
Average BMI (kg/m2),Average BMI,Sex,Women,2015,Estimated,22,,viz_sex,Average BMI (kg/m2),table_total,Women - Average BMI,Total,1.055
Average BMI (kg/m2),Average BMI,Sex,Women,2015,Lower Bound,21.8,,,,table_total,Women - Average BMI,Total,8.957
Average BMI (kg/m2),Average BMI,Sex,Women,2015,Upper Bound,22.2,,,,table_total,Women - Average BMI,Total,4.341
Average BMI (kg/m2),Average BMI,Sex by Age,Men 18-29,2015,Estimated,21.3,,viz_men_age,Average BMI (kg/m2),,Men 18-29 - Average BMI,Men,3.035
Average BMI (kg/m2),Average BMI,Sex by Age,Men 18-29,2015,Lower Bound,20.9,,,,,Men 18-29 - Average BMI,Men,11.49
Average BMI (kg/m2),Average BMI,Sex by Age,Men 18-29,2015,Upper Bound,21.8,,,,,Men 18-29 - Average BMI,Men,4.436
