Topic,Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Total,Total,2015,Estimated,49.22,60830838,viz_total,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,"",
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex,Men,2015,Estimated,6.674,8248375,viz_sex,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Total,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex,Women,2015,Estimated,85.47,105632094,viz_sex,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Total,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 1,2015,Estimated,73.63,90999077,viz_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Total,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 2,2015,Estimated,33.33,41192438,viz_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Total,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 3,2015,Estimated,21.52,26596498,viz_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Total,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Age,Age Group 4,2015,Estimated,14.98,18513733,viz_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Total,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Area,Urban,2015,Estimated,5.41,6686201,viz_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Total,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Area,Rural,2015,Estimated,80.48,99464970,viz_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Total,49.22
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 1,2015,Estimated,19.35,23914602,viz_women_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Women,85.47
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 2,2015,Estimated,83.77,103531070,viz_women_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Women,85.47
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 3,2015,Estimated,53.21,65762066,viz_women_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Women,85.47
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women Age Group 4,2015,Estimated,62.97,77824418,viz_women_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Women,85.47
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men Age Group 1,2015,Estimated,49.22,60830838,viz_men_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Men,6.674
