Topic,Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,18-29,2015,Estimated,0.2,122650392,viz_age,Percentage currently taking aspirin to prevent or treat heart disease,,18-29 - Taking aspirin,Total,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,18-29,2015,Lower Bound,0,26188652,,,,18-29 - Taking aspirin,Total,99.24
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,18-29,2015,Upper Bound,0.5,67368731,,,,18-29 - Taking aspirin,Total,21.19
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,30-49,2015,Estimated,0.7,118905625,viz_age,Percentage currently taking aspirin to prevent or treat heart disease,,30-49 - Taking aspirin,Total,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,30-49,2015,Lower Bound,0.3,23210141,,,,30-49 - Taking aspirin,Total,99.24
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,30-49,2015,Upper Bound,1.1,38634132,,,,30-49 - Taking aspirin,Total,21.19
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,50-69,2015,Estimated,4.1,102146866,viz_age,Percentage currently taking aspirin to prevent or treat heart disease,,50-69 - Taking aspirin,Total,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,50-69,2015,Lower Bound,2.9,105792761,,,,50-69 - Taking aspirin,Total,99.24
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age,50-69,2015,Upper Bound,5.4,66997962,,,,50-69 - Taking aspirin,Total,21.19
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age, 18-69,2015,Estimated,1.3,26188652,viz_age,Percentage currently taking aspirin to prevent or treat heart disease,, 18-69 - Taking aspirin,Total,81.65
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age, 18-69,2015,Lower Bound,1,67368731,,,, 18-69 - Taking aspirin,Total,99.24
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age, 18-69,2015,Upper Bound,1.7,39561055,,,, 18-69 - Taking aspirin,Total,21.19
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural 18-29,2015,Estimated,,67368731,viz_age_area,Percentage currently taking aspirin to prevent or treat heart disease,,Rural 18-29 - Taking aspirin,Rural,85.6
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural 18-29,2015,Lower Bound,,39561055,,,,Rural 18-29 - Taking aspirin,Rural,54.21
Cardiovascular disease and cancer,Percentage currently taking aspirin to prevent or treat heart disease,Taking aspirin,Age by Area,Rural 18-29,2015,Upper Bound,,93285486,,,,Rural 18-29 - Taking aspirin,Rural,11.85
