Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Total,Total,2015,Estimated,41.86,51734638,viz_total,Percentage not meeting WHO recommendations on physical activity,"",
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex,Men,2015,Estimated,46.85,57901762,viz_sex,Percentage not meeting WHO recommendations on physical activity,Total,41.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex,Women,2015,Estimated,82.92,102480558,viz_sex,Percentage not meeting WHO recommendations on physical activity,Total,41.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 1,2015,Estimated,2.62,3238049,viz_age,Percentage not meeting WHO recommendations on physical activity,Total,41.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 2,2015,Estimated,83.71,103456916,viz_age,Percentage not meeting WHO recommendations on physical activity,Total,41.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 3,2015,Estimated,4.227,5224136,viz_age,Percentage not meeting WHO recommendations on physical activity,Total,41.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Age,Age Group 4,2015,Estimated,34.93,43169873,viz_age,Percentage not meeting WHO recommendations on physical activity,Total,41.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Area,Urban,2015,Estimated,25.86,31960290,viz_area,Percentage not meeting WHO recommendations on physical activity,Total,41.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Area,Rural,2015,Estimated,71.95,88922770,viz_area,Percentage not meeting WHO recommendations on physical activity,Total,41.86
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 1,2015,Estimated,56.83,70236012,viz_women_age,Percentage not meeting WHO recommendations on physical activity,Women,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 2,2015,Estimated,12.79,15807119,viz_women_age,Percentage not meeting WHO recommendations on physical activity,Women,82.92
Percentage not meeting WHO recommendations on physical activity,Not meeting WHO recommendations,Sex by Age,Women Age Group 3,2015,Estimated,2.611,3226926,viz_women_age,Percentage not meeting WHO recommendations on physical activity,Women,82.92
