Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Average and median minutes of total physical activity per day,Average minutes,Age,18-29,2015,Estimated,177.6,,viz_age,Average and median minutes of total physical activity per day,,18-29 - Average minutes,Total,9.884
Average and median minutes of total physical activity per day,Average minutes,Age,18-29,2015,Lower Bound,155.4,,,,,18-29 - Average minutes,Total,9.875
Average and median minutes of total physical activity per day,Average minutes,Age,18-29,2015,Upper Bound,199.9,,,,,18-29 - Average minutes,Total,4.031
Average and median minutes of total physical activity per day,Average minutes,Age,30-49,2015,Estimated,215,,viz_age,Average and median minutes of total physical activity per day,,30-49 - Average minutes,Total,9.884
Average and median minutes of total physical activity per day,Average minutes,Age,30-49,2015,Lower Bound,199.8,,,,,30-49 - Average minutes,Total,9.875
Average and median minutes of total physical activity per day,Average minutes,Age,30-49,2015,Upper Bound,230.1,,,,,30-49 - Average minutes,Total,4.031
Average and median minutes of total physical activity per day,Average minutes,Age,50-69,2015,Estimated,167.4,,viz_age,Average and median minutes of total physical activity per day,,50-69 - Average minutes,Total,9.884
Average and median minutes of total physical activity per day,Average minutes,Age,50-69,2015,Lower Bound,151.5,,,,,50-69 - Average minutes,Total,9.875
Average and median minutes of total physical activity per day,Average minutes,Age,50-69,2015,Upper Bound,183.3,,,,,50-69 - Average minutes,Total,4.031
Average and median minutes of total physical activity per day,Average minutes,Age, 18-69,2015,Estimated,191.5,,viz_age,Average and median minutes of total physical activity per day,, 18-69 - Average minutes,Total,9.884
Average and median minutes of total physical activity per day,Average minutes,Age, 18-69,2015,Lower Bound,178.8,,,,, 18-69 - Average minutes,Total,9.875
Average and median minutes of total physical activity per day,Average minutes,Age, 18-69,2015,Upper Bound,204.2,,,,, 18-69 - Average minutes,Total,4.031
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural 18-29,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Rural 18-29 - Average minutes,Rural,9.518
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural 18-29,2015,Lower Bound,,,,,,Rural 18-29 - Average minutes,Rural,8.096
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural 18-29,2015,Upper Bound,,,,,,Rural 18-29 - Average minutes,Rural,1.861
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural 30-49,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Rural 30-49 - Average minutes,Rural,9.518
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural 30-49,2015,Lower Bound,,,,,,Rural 30-49 - Average minutes,Rural,8.096
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural 30-49,2015,Upper Bound,,,,,,Rural 30-49 - Average minutes,Rural,1.861
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural 50-69,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Rural 50-69 - Average minutes,Rural,9.518
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural 50-69,2015,Lower Bound,,,,,,Rural 50-69 - Average minutes,Rural,8.096
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural 50-69,2015,Upper Bound,,,,,,Rural 50-69 - Average minutes,Rural,1.861
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural  18-69,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Rural  18-69 - Average minutes,Rural,9.518
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average minutes,Rural,8.096
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Rural  18-69,2015,Lower Bound,,,,,,Rural  18-69 - Average minutes,Rural,8.096
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban 18-29,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Urban 18-29 - Average minutes,Urban,11.46
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban 18-29,2015,Lower Bound,,,,,,Urban 18-29 - Average minutes,Urban,9.518
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban 18-29,2015,Upper Bound,,,,,,Urban 18-29 - Average minutes,Urban,8.096
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban 30-49,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Urban 30-49 - Average minutes,Urban,11.46
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban 30-49,2015,Lower Bound,,,,,,Urban 30-49 - Average minutes,Urban,9.518
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban 30-49,2015,Upper Bound,,,,,,Urban 30-49 - Average minutes,Urban,8.096
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban 50-69,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Urban 50-69 - Average minutes,Urban,11.46
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban 50-69,2015,Lower Bound,,,,,,Urban 50-69 - Average minutes,Urban,9.518
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban 50-69,2015,Upper Bound,,,,,,Urban 50-69 - Average minutes,Urban,8.096
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban  18-69,2015,Estimated,,,viz_age_area,Average and median minutes of total physical activity per day,,Urban  18-69 - Average minutes,Urban,11.46
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban  18-69,2015,Lower Bound,,,,,,Urban  18-69 - Average minutes,Urban,9.518
Average and median minutes of total physical activity per day,Average minutes,Age by Area,Urban  18-69,2015,Upper Bound,,,,,,Urban  18-69 - Average minutes,Urban,8.096
Average and median minutes of total physical activity per day,Average minutes,Area,Rural,2015,Estimated,181.93,,viz_area,Average and median minutes of total physical activity per day,,Rural - Average minutes,Total,9.884
Average and median minutes of total physical activity per day,Average minutes,Area,Rural,2015,Lower Bound,169.86,,,,,Rural - Average minutes,Total,9.875
Average and median minutes of total physical activity per day,Average minutes,Area,Rural,2015,Upper Bound,193.99,,,,,Rural - Average minutes,Total,4.031
Average and median minutes of total physical activity per day,Average minutes,Area,Urban,2015,Estimated,201.08,,viz_area,Average and median minutes of total physical activity per day,,Urban - Average minutes,Total,9.884
Average and median minutes of total physical activity per day,Average minutes,Area,Urban,2015,Lower Bound,187.74,,,,,Urban - Average minutes,Total,9.875
Average and median minutes of total physical activity per day,Average minutes,Area,Urban,2015,Upper Bound,214.41,,,,,Urban - Average minutes,Total,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex,Men,2015,Estimated,221,,viz_sex,Average and median minutes of total physical activity per day,table_total,Men - Average minutes,Total,9.884
Average and median minutes of total physical activity per day,Average minutes,Sex,Men,2015,Lower Bound,205,,,,table_total,Men - Average minutes,Total,9.875
Average and median minutes of total physical activity per day,Average minutes,Sex,Men,2015,Upper Bound,236.9,,,,table_total,Men - Average minutes,Total,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex,Women,2015,Estimated,162.9,,viz_sex,Average and median minutes of total physical activity per day,table_total,Women - Average minutes,Total,9.884
Average and median minutes of total physical activity per day,Average minutes,Sex,Women,2015,Lower Bound,147.6,,,,table_total,Women - Average minutes,Total,9.875
Average and median minutes of total physical activity per day,Average minutes,Sex,Women,2015,Upper Bound,178.2,,,,table_total,Women - Average minutes,Total,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men 18-29,2015,Estimated,227.4,,viz_men_age,Average and median minutes of total physical activity per day,,Men 18-29 - Average minutes,Men,9.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men 18-29,2015,Lower Bound,197.3,,,,,Men 18-29 - Average minutes,Men,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men 18-29,2015,Upper Bound,257.4,,,,,Men 18-29 - Average minutes,Men,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men 30-49,2015,Estimated,241.5,,viz_men_age,Average and median minutes of total physical activity per day,,Men 30-49 - Average minutes,Men,9.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men 30-49,2015,Lower Bound,220.6,,,,,Men 30-49 - Average minutes,Men,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men 30-49,2015,Upper Bound,262.5,,,,,Men 30-49 - Average minutes,Men,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men 50-69,2015,Estimated,171.8,,viz_men_age,Average and median minutes of total physical activity per day,,Men 50-69 - Average minutes,Men,9.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men 50-69,2015,Lower Bound,150.9,,,,,Men 50-69 - Average minutes,Men,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men 50-69,2015,Upper Bound,192.8,,,,,Men 50-69 - Average minutes,Men,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men  18-69,2015,Estimated,221,,viz_men_age,Average and median minutes of total physical activity per day,,Men  18-69 - Average minutes,Men,9.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men  18-69,2015,Lower Bound,205,,,,,Men  18-69 - Average minutes,Men,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Men  18-69,2015,Upper Bound,236.9,,,,,Men  18-69 - Average minutes,Men,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women 18-29,2015,Estimated,127,,viz_women_age,Average and median minutes of total physical activity per day,,Women 18-29 - Average minutes,Women,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women 18-29,2015,Lower Bound,98.9,,,,,Women 18-29 - Average minutes,Women,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women 18-29,2015,Upper Bound,155.1,,,,,Women 18-29 - Average minutes,Women,5.075
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women 30-49,2015,Estimated,188.7,,viz_women_age,Average and median minutes of total physical activity per day,,Women 30-49 - Average minutes,Women,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women 30-49,2015,Lower Bound,171.4,,,,,Women 30-49 - Average minutes,Women,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women 30-49,2015,Upper Bound,206.1,,,,,Women 30-49 - Average minutes,Women,5.075
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women 50-69,2015,Estimated,163.5,,viz_women_age,Average and median minutes of total physical activity per day,,Women 50-69 - Average minutes,Women,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women 50-69,2015,Lower Bound,140.7,,,,,Women 50-69 - Average minutes,Women,4.875
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women 50-69,2015,Upper Bound,186.2,,,,,Women 50-69 - Average minutes,Women,5.075
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women  18-69,2015,Estimated,162.9,,viz_women_age,Average and median minutes of total physical activity per day,,Women  18-69 - Average minutes,Women,4.031
Average and median minutes of total physical activity per day,Average minutes,Sex by Age,Women  18-69,2015,Lower Bound,147.6,,,,,Women  18-69 - Average minutes,Women,4.875
