Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Percentage who currently use tobacco in any form,Prevalence (any form),Total,Total,2015,Estimated,15.21,18797989,viz_total,Percentage who currently use tobacco in any form,"",
Percentage who currently use tobacco in any form,Prevalence (any form),Sex,Men,2015,Estimated,88.75,109685836,viz_sex,Percentage who currently use tobacco in any form,Total,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Sex,Women,2015,Estimated,49.31,60942068,viz_sex,Percentage who currently use tobacco in any form,Total,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 1,2015,Estimated,3.523,4354064,viz_age,Percentage who currently use tobacco in any form,Total,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 2,2015,Estimated,52.11,64402579,viz_age,Percentage who currently use tobacco in any form,Total,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 3,2015,Estimated,66.32,81964672,viz_age,Percentage who currently use tobacco in any form,Total,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 4,2015,Estimated,6.06,7489534,viz_age,Percentage who currently use tobacco in any form,Total,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Area,Urban,2015,Estimated,13.34,16486863,viz_area,Percentage who currently use tobacco in any form,Total,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Area,Rural,2015,Estimated,36.12,44640590,viz_area,Percentage who currently use tobacco in any form,Total,15.21
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 1,2015,Estimated,82.34,101763738,viz_women_age,Percentage who currently use tobacco in any form,Women,49.31
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 2,2015,Estimated,91.42,112985680,viz_women_age,Percentage who currently use tobacco in any form,Women,49.31
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 3,2015,Estimated,99.3,122724546,viz_women_age,Percentage who currently use tobacco in any form,Women,49.31
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 4,2015,Estimated,80.81,99872816,viz_women_age,Percentage who currently use tobacco in any form,Women,49.31
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 1,2015,Estimated,84.02,103840044,viz_men_age,Percentage who currently use tobacco in any form,Men,88.75
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 2,2015,Estimated,73.25,90529436,viz_men_age,Percentage who currently use tobacco in any form,Men,88.75
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 3,2015,Estimated,84.57,104519787,viz_men_age,Percentage who currently use tobacco in any form,Men,88.75
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 4,2015,Estimated,92.59,114431679,viz_men_age,Percentage who currently use tobacco in any form,Men,88.75
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Urban Men,2015,Estimated,51.45,63586887,viz_sex_area,Percentage who currently use tobacco in any form,Men,88.75
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Rural Men,2015,Estimated,80.15,99057124,viz_sex_area,Percentage who currently use tobacco in any form,Men,88.75
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Urban Women,2015,Estimated,77.09,95275280,viz_sex_area,Percentage who currently use tobacco in any form,Women,49.31
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Rural Women,2015,Estimated,3.961,4895387,viz_sex_area,Percentage who currently use tobacco in any form,Women,49.31
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 1,2015,Estimated,32.3,39919465,viz_age_area,Percentage who currently use tobacco in any form,Urban,13.34
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 1,2015,Estimated,32.36,39993619,viz_age_area,Percentage who currently use tobacco in any form,Rural,36.12
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 2,2015,Estimated,10.96,13545428,viz_age_area,Percentage who currently use tobacco in any form,Urban,13.34
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 2,2015,Estimated,73.22,90492359,viz_age_area,Percentage who currently use tobacco in any form,Rural,36.12
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 3,2015,Estimated,4.7,5808715,viz_age_area,Percentage who currently use tobacco in any form,Urban,13.34
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 3,2015,Estimated,92.85,114753012,viz_age_area,Percentage who currently use tobacco in any form,Rural,36.12
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 4,2015,Estimated,89.73,110897014,viz_age_area,Percentage who currently use tobacco in any form,Urban,13.34
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 4,2015,Estimated,17.55,21689988,viz_age_area,Percentage who currently use tobacco in any form,Rural,36.12
Percentage who currently use tobacco in any form,Prevalence (any form),Total,Total,2015,Lower Bound,44.11,54515405,,,"",
Percentage who currently use tobacco in any form,Prevalence (any form),Sex,Men,2015,Lower Bound,75.03,92729332,,,Total,44.11
Percentage who currently use tobacco in any form,Prevalence (any form),Sex,Women,2015,Lower Bound,47.13,58247813,,,Total,44.11
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 1,2015,Lower Bound,18.91,23370807,,,Total,44.11
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 2,2015,Lower Bound,15.21,18797989,,,Total,44.11
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 3,2015,Lower Bound,88.75,109685836,,,Total,44.11
Percentage who currently use tobacco in any form,Prevalence (any form),Age,Age Group 4,2015,Lower Bound,49.31,60942068,,,Total,44.11
Percentage who currently use tobacco in any form,Prevalence (any form),Area,Urban,2015,Lower Bound,3.523,4354064,,,Total,44.11
Percentage who currently use tobacco in any form,Prevalence (any form),Area,Rural,2015,Lower Bound,52.11,64402579,,,Total,44.11
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 1,2015,Lower Bound,66.32,81964672,,,Women,47.13
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 2,2015,Lower Bound,6.06,7489534,,,Women,47.13
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 3,2015,Lower Bound,13.34,16486863,,,Women,47.13
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Women Age Group 4,2015,Lower Bound,36.12,44640590,,,Women,47.13
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 1,2015,Lower Bound,82.34,101763738,,,Men,75.03
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 2,2015,Lower Bound,91.42,112985680,,,Men,75.03
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 3,2015,Lower Bound,99.3,122724546,,,Men,75.03
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Age,Men Age Group 4,2015,Lower Bound,80.81,99872816,,,Men,75.03
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Urban Men,2015,Lower Bound,84.02,103840044,,,Men,75.03
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Rural Men,2015,Lower Bound,73.25,90529436,,,Men,75.03
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Urban Women,2015,Lower Bound,84.57,104519787,,,Women,47.13
Percentage who currently use tobacco in any form,Prevalence (any form),Sex by Area,Rural Women,2015,Lower Bound,92.59,114431679,,,Women,47.13
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 1,2015,Lower Bound,51.45,63586887,,,Urban,3.523
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 1,2015,Lower Bound,80.15,99057124,,,Rural,52.11
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 2,2015,Lower Bound,77.09,95275280,,,Urban,3.523
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 2,2015,Lower Bound,3.961,4895387,,,Rural,52.11
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 3,2015,Lower Bound,32.3,39919465,,,Urban,3.523
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 3,2015,Lower Bound,32.36,39993619,,,Rural,52.11
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Urban Age Group 4,2015,Lower Bound,10.96,13545428,,,Urban,3.523
Percentage who currently use tobacco in any form,Prevalence (any form),Age by Area,Rural Age Group 4,2015,Lower Bound,73.22,90492359,,,Rural,52.11
Percentage who currently use tobacco in any form,Prevalence (any form),Total,Total,2015,Upper Bound,4.7,5808715,,,"",
Percentage who currently use tobacco in any form,Prevalence (any form),Sex,Men,2015,Upper Bound,92.85,114753012,,,Total,4.7
Percentage who currently use tobacco in any form,Prevalence (any form),Sex,Women,2015,Upper Bound,89.73,110897014,,,Total,4.7
