Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Average age of smoking initiation among daily smokers,Average age,Age,25-34,2015,Estimated,17.8,,viz_age,Average age of smoking initiation among daily smokers,,25-34 - Average age,Total,2.983
Average age of smoking initiation among daily smokers,Average age,Age,25-34,2015,Lower Bound,17.4,,,,,25-34 - Average age,Total,11.59
Average age of smoking initiation among daily smokers,Average age,Age,25-34,2015,Upper Bound,18.1,,,,,25-34 - Average age,Total,9.727
Average age of smoking initiation among daily smokers,Average age,Age,35-44,2015,Estimated,18.8,,viz_age,Average age of smoking initiation among daily smokers,,35-44 - Average age,Total,2.983
Average age of smoking initiation among daily smokers,Average age,Age,35-44,2015,Lower Bound,18.4,,,,,35-44 - Average age,Total,11.59
Average age of smoking initiation among daily smokers,Average age,Age,35-44,2015,Upper Bound,19.2,,,,,35-44 - Average age,Total,9.727
Average age of smoking initiation among daily smokers,Average age,Age,45-54,2015,Estimated,18.4,,viz_age,Average age of smoking initiation among daily smokers,,45-54 - Average age,Total,2.983
Average age of smoking initiation among daily smokers,Average age,Age,45-54,2015,Lower Bound,17.9,,,,,45-54 - Average age,Total,11.59
Average age of smoking initiation among daily smokers,Average age,Age,45-54,2015,Upper Bound,18.9,,,,,45-54 - Average age,Total,9.727
Average age of smoking initiation among daily smokers,Average age,Age,55-64,2015,Estimated,18.5,,viz_age,Average age of smoking initiation among daily smokers,,55-64 - Average age,Total,2.983
Average age of smoking initiation among daily smokers,Average age,Age,55-64,2015,Lower Bound,17.8,,,,,55-64 - Average age,Total,11.59
Average age of smoking initiation among daily smokers,Average age,Age,55-64,2015,Upper Bound,19.3,,,,,55-64 - Average age,Total,9.727
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 25-34,2015,Estimated,,,viz_age_area,Average age of smoking initiation among daily smokers,,Rural 25-34 - Average age,Rural,1.794
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 25-34,2015,Lower Bound,,,,,,Rural 25-34 - Average age,Rural,1.793
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 25-34,2015,Upper Bound,,,,,,Rural 25-34 - Average age,Rural,2.983
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 35-44,2015,Estimated,,,viz_age_area,Average age of smoking initiation among daily smokers,,Rural 35-44 - Average age,Rural,1.794
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 35-44,2015,Lower Bound,,,,,,Rural 35-44 - Average age,Rural,1.793
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 35-44,2015,Upper Bound,,,,,,Rural 35-44 - Average age,Rural,2.983
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 45-54,2015,Estimated,,,viz_age_area,Average age of smoking initiation among daily smokers,,Rural 45-54 - Average age,Rural,1.794
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 45-54,2015,Lower Bound,,,,,,Rural 45-54 - Average age,Rural,1.793
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 45-54,2015,Upper Bound,,,,,,Rural 45-54 - Average age,Rural,2.983
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 55-64,2015,Estimated,,,viz_age_area,Average age of smoking initiation among daily smokers,,Rural 55-64 - Average age,Rural,1.794
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 55-64,2015,Lower Bound,,,,,,Rural 55-64 - Average age,Rural,1.793
Average age of smoking initiation among daily smokers,Average age,Age by Area,Rural 55-64,2015,Lower Bound,,,,,,Rural 55-64 - Average age,Rural,1.793
Average age of smoking initiation among daily smokers,Average age,Age by Area,Urban 25-34,2015,Estimated,,,viz_age_area,Average age of smoking initiation among daily smokers,,Urban 25-34 - Average age,Urban,5.292
Average age of smoking initiation among daily smokers,Average age,Age by Area,Urban 25-34,2015,Lower Bound,,,,,,Urban 25-34 - Average age,Urban,4.9
Average age of smoking initiation among daily smokers,Average age,Age by Area,Urban 25-34,2015,Upper Bound,,,,,,Urban 25-34 - Average age,Urban,10.75
Average age of smoking initiation among daily smokers,Average age,Age by Area,Urban 35-44,2015,Estimated,,,viz_age_area,Average age of smoking initiation among daily smokers,,Urban 35-44 - Average age,Urban,5.292
